,att1,def1,mid1,ovr1,rank1,att2,def2,mid2,ovr2,rank2,score,winner,att,def,mid,ovr,rank
149,87,79,80,83,1,80,70,73,75,26,1.0,1,7,9,7,8,-25
150,78,79,73,78,15,80,70,73,75,26,6.0,1,-2,9,0,3,-11
151,78,79,73,78,15,87,79,80,83,1,-3.0,-1,-9,0,-7,-5,14
152,78,79,73,78,15,79,75,73,77,17,2.0,1,-1,4,0,1,-2
153,87,80,84,85,2,87,79,80,83,1,3.0,1,0,1,4,2,1
154,74,78,76,75,54,77,67,74,77,27,1.0,1,-3,11,2,-2,27
155,83,70,74,74,34,78,68,74,72,58,-1.0,-1,5,2,0,2,-24
156,81,70,76,78,29,80,75,76,76,32,-4.0,-1,1,-5,0,2,-3
157,89,85,85,85,11,86,82,86,84,5,-1.0,-1,3,3,-1,1,6
158,78,78,76,77,14,86,82,83,85,6,-1.0,-1,-8,-4,-7,-8,8
159,70,65,68,68,48,87,86,82,85,3,2.0,1,-17,-21,-14,-17,45
160,77,74,76,75,21,87,79,80,83,1,1.0,1,-10,-5,-4,-8,20
161,72,77,69,73,12,79,72,77,79,28,2.0,1,-7,5,-8,-6,-16
162,78,68,74,72,58,86,82,86,84,5,-2.0,-1,-8,-14,-12,-12,53
163,80,73,77,76,52,87,79,80,83,1,-1.0,-1,-7,-6,-3,-7,51
164,89,85,85,85,11,81,75,73,78,16,3.0,1,8,10,12,7,-5
165,90,85,83,85,4,73,74,77,74,13,-1.0,-1,17,11,6,11,-9
166,86,82,86,84,5,72,77,69,73,12,2.0,1,14,5,17,11,-7
167,78,79,73,78,15,87,80,84,85,2,-2.0,-1,-9,-1,-11,-7,13
168,82,71,70,75,22,87,86,82,85,3,-1.0,-1,-5,-15,-12,-10,19
169,81,70,76,78,29,86,82,83,85,6,-2.0,-1,-5,-12,-7,-7,23
170,73,74,77,74,13,82,71,70,75,22,2.0,1,-9,3,7,-1,-9
171,78,76,73,76,41,70,71,69,73,88,2.0,1,8,5,4,3,-47
172,87,80,84,85,2,71,69,66,70,59,5.0,1,16,11,18,15,-57
173,80,70,73,75,26,79,75,73,77,17,1.0,1,1,-5,0,-2,9
174,77,70,71,74,20,70,65,68,68,48,-1.0,-1,7,5,3,6,-28
175,81,75,73,78,16,89,85,85,85,11,1.0,1,-8,-10,-12,-7,5
176,79,72,77,79,28,78,78,76,77,14,-1.0,-1,1,-6,1,2,14
177,70,71,69,73,88,89,85,85,85,11,-1.0,-1,-19,-14,-16,-12,77
178,83,70,74,74,34,72,77,69,73,12,1.0,1,11,-7,5,1,22
179,63,68,67,69,36,81,70,76,78,29,1.0,1,-18,-2,-9,-9,7
180,77,74,76,75,21,79,72,77,79,28,-1.0,-1,-2,2,-1,-4,-7
181,80,70,73,75,26,71,69,66,70,59,4.0,1,9,1,7,5,-33
182,77,70,71,74,20,74,78,76,75,54,2.0,1,3,-8,-5,-1,-34
183,73,74,77,74,13,87,86,82,85,3,-1.0,-1,-14,-12,-5,-11,10
184,86,82,83,85,6,79,72,77,76,24,3.0,1,7,10,6,9,-18
185,78,76,73,76,41,82,76,71,78,19,-1.0,-1,-4,0,2,-2,22
186,89,85,85,85,11,75,81,72,77,10,-1.0,-1,14,4,13,8,1
187,70,65,68,68,48,78,78,76,77,14,-1.0,-1,-8,-13,-8,-9,34
188,77,69,69,72,76,83,70,74,74,34,-2.0,-1,-6,-1,-5,-2,42
189,86,82,83,85,6,63,68,67,69,36,1.0,1,23,14,16,16,-30
190,73,70,71,71,82,84,81,84,82,3,-3.0,-1,-11,-11,-13,-11,79
191,80,73,73,76,6,82,71,78,81,5,-3.0,-1,-2,2,-5,-5,1
192,77,80,79,78,8,80,69,74,74,30,-2.0,-1,-3,11,5,4,-22
193,87,84,84,84,14,80,75,76,75,45,1.0,1,7,9,8,9,-31
194,78,76,72,77,17,74,73,73,72,43,1.0,1,4,3,-1,5,-26
195,81,77,75,75,38,83,80,84,84,4,-1.0,-1,-2,-3,-9,-9,34
196,82,84,83,84,2,76,77,83,82,10,2.0,1,6,7,0,2,-8
197,69,69,67,69,35,80,69,74,73,15,-1.0,-1,-11,0,-7,-4,20
198,73,67,61,69,73,80,75,76,77,31,-1.0,-1,-7,-8,-15,-8,42
199,87,83,85,84,1,87,83,83,84,11,1.0,1,0,0,2,0,-10
200,76,71,72,71,61,76,75,76,75,39,3.0,1,0,-4,-4,-4,22
201,73,70,71,71,82,82,71,78,81,5,-1.0,-1,-9,-1,-7,-10,77
202,83,80,84,84,4,85,73,75,76,28,1.0,1,-2,7,9,8,-24
203,80,69,74,73,15,74,73,73,72,43,1.0,1,6,-4,1,1,-28
204,87,83,83,84,11,87,84,84,84,14,1.0,1,0,-1,-1,0,-3
205,65,68,68,68,62,73,67,61,69,73,-1.0,-1,-8,1,7,-1,-11
206,76,77,83,82,10,78,76,72,77,17,-1.0,-1,-2,1,11,5,-7
207,74,77,66,74,18,81,80,72,76,9,3.0,1,-7,-3,-6,-2,9
208,76,67,69,71,85,79,74,75,75,22,3.0,1,-3,-7,-6,-4,63
209,80,75,76,75,45,84,81,84,82,3,-4.0,-1,-4,-6,-8,-7,42
210,80,77,75,78,24,61,67,64,65,96,1.0,1,19,10,11,13,-72
211,82,71,78,81,5,81,67,71,74,19,3.0,1,1,4,7,7,-14
212,80,72,78,77,13,78,76,70,75,20,-1.0,-1,2,-4,8,2,-7
213,87,83,83,84,11,68,68,65,68,42,2.0,1,19,15,18,16,-31
214,74,73,73,72,43,80,72,78,77,13,-2.0,-1,-6,1,-5,-5,30
215,77,80,79,78,8,75,71,77,75,26,2.0,1,2,9,2,3,-18
216,82,84,83,84,2,74,74,74,73,51,2.0,1,8,10,9,11,-49
217,82,71,78,81,5,76,71,72,71,61,2.0,1,6,0,6,10,-56
218,82,78,70,77,27,76,67,69,71,85,2.0,1,6,11,1,6,-58
219,85,73,75,76,28,81,67,71,74,19,-1.0,-1,4,6,4,2,9
220,80,77,75,78,24,85,80,80,83,7,-3.0,-1,-5,-3,-5,-5,17
221,76,77,83,82,10,80,72,78,77,13,2.0,1,-4,5,5,5,-3
222,80,75,76,75,45,77,80,79,78,8,-1.0,-1,3,-5,-3,-3,37
223,73,70,71,71,82,80,73,73,76,6,-1.0,-1,-7,-3,-2,-5,76
224,84,81,84,82,3,80,69,74,74,30,2.0,1,4,12,10,8,-27
225,78,76,72,77,17,85,73,75,76,28,-2.0,-1,-7,3,-3,1,-11
226,87,83,85,84,1,81,80,72,76,9,3.0,1,6,3,13,8,-8
227,77,80,79,78,8,76,77,83,82,10,-2.0,-1,1,3,-4,-4,-2
228,80,75,76,75,45,80,72,78,77,13,-1.0,-1,0,3,-2,-2,32
229,80,73,73,76,6,84,81,84,82,3,1.0,1,-4,-8,-11,-6,3
230,82,71,78,81,5,87,83,83,84,11,3.0,1,-5,-12,-5,-3,-6
231,78,76,72,77,17,81,80,72,76,9,-1.0,-1,-3,-4,0,1,8
232,85,73,75,76,28,87,83,85,84,1,-1.0,-1,-2,-10,-10,-8,27
233,79,74,75,75,22,83,80,84,84,4,2.0,1,-4,-6,-9,-9,18
234,80,75,76,75,45,76,77,83,82,10,2.0,1,4,-2,-7,-7,35
235,73,70,71,71,82,84,81,84,82,3,-1.0,-1,-11,-11,-13,-11,79
236,80,69,74,74,30,80,73,73,76,6,-1.0,-1,0,-4,1,-2,24
237,87,83,83,84,11,82,84,83,84,2,-2.0,-1,5,-1,0,0,9
238,82,71,78,81,5,74,77,66,74,18,2.0,1,8,-6,12,7,-13
239,78,76,72,77,17,87,83,85,84,1,-1.0,-1,-9,-7,-13,-7,16
240,81,80,72,76,9,85,73,75,76,28,2.0,1,-4,7,-3,0,-19
241,76,77,83,82,10,84,81,84,82,3,-1.0,-1,-8,-4,-1,0,7
242,82,71,78,81,5,81,80,72,76,9,-2.0,-1,1,-9,6,5,-4
243,77,74,74,74,34,61,67,64,65,96,-1.0,-1,16,7,10,9,-62
244,84,81,84,82,3,80,72,78,77,13,1.0,1,4,9,6,5,-10
245,81,80,72,76,9,87,83,85,84,1,-3.0,-1,-6,-3,-13,-8,8
246,84,81,84,82,3,87,83,85,84,1,-1.0,-1,-3,-2,-1,-2,2
247,80,75,76,77,31,87,83,85,84,1,-3.0,-1,-7,-8,-9,-7,30
248,84,81,84,82,3,74,74,74,73,51,2.0,1,10,7,10,9,-48
249,73,67,61,69,73,80,73,73,76,6,-1.0,-1,-7,-6,-12,-7,67
250,85,73,75,76,28,87,83,83,84,11,-1.0,-1,-2,-10,-8,-8,17
251,73,70,71,71,82,87,83,83,84,11,2.0,1,-14,-13,-12,-13,71
252,82,71,78,81,5,77,74,74,74,34,-1.0,-1,5,-3,4,7,-29
253,76,67,69,71,85,82,78,70,77,27,-1.0,-1,-6,-11,-1,-6,58
254,80,73,73,76,6,87,84,84,84,14,-3.0,-1,-7,-11,-11,-8,-8
255,76,77,83,82,10,80,75,76,77,31,-1.0,-1,-4,2,7,5,-21
256,84,81,84,82,3,81,80,72,76,9,1.0,1,3,1,12,6,-6
257,80,69,74,74,30,77,80,79,78,8,1.0,1,3,-11,-5,-4,22
258,73,67,61,69,73,69,69,67,69,35,2.0,1,4,-2,-6,0,38
259,74,74,74,73,51,87,83,85,84,1,-1.0,-1,-13,-9,-11,-11,50
260,77,80,79,78,8,73,67,61,69,73,1.0,1,4,13,18,9,-65
261,84,81,84,82,3,76,71,72,71,61,1.0,1,8,10,12,11,-58
262,78,76,72,77,17,80,75,76,75,45,-1.0,-1,-2,1,-4,2,-28
263,76,75,76,75,39,82,71,78,81,5,-1.0,-1,-6,4,-2,-6,34
264,81,80,72,76,9,74,73,73,72,43,3.0,1,7,7,-1,4,-34
265,80,77,75,78,24,68,68,65,68,42,1.0,1,12,9,10,10,-18
266,73,70,71,71,82,80,72,78,77,13,-2.0,-1,-7,-2,-7,-6,69
267,80,75,76,77,31,76,71,72,71,61,-1.0,-1,4,4,4,6,-30
